Applicant,Proprietery_Name,Active_Ingredient,Dosage_Form,Pack_Size,Quantity,NAPPI_Code,Manufacturer_Price,Logistics_Fee,SEP,Effective_Date
3M South Africa (Pty) Ltd,Xylestesin-A,Lidocaine hydrochloride,INJ,50,1.0,703312001.0,204.94425599999997,33.592319999999994,274.316544,2021-03-12 00:00:00
3M South Africa (Pty) Ltd,Xylestesin-A,Adrenaline,INJ,50,1.0,703312001.0,204.94425599999997,33.592319999999994,274.316544,2021-03-12 00:00:00
3M South Africa (Pty) Ltd,Ubistesin,Articaine hydrochloride,INJ,50,1.0,710488001.0,249.16377599999998,40.860288,333.52819199999993,2021-03-12 00:00:00
3M South Africa (Pty) Ltd,Ubistesin,Adrenaline,INJ,50,1.0,710488001.0,249.16377599999998,40.860288,333.52819199999993,2021-03-12 00:00:00
3M South Africa (Pty) Ltd,Ubistesin Forte,Articaine hydrochloride,INJ,50,1.0,710497001.0,249.16377599999998,40.860288,333.53,2021-03-12 00:00:00
3M South Africa (Pty) Ltd,Ubistesin Forte,Adrenaline,INJ,50,1.0,710497001.0,249.16377599999998,40.860288,333.53,2021-03-12 00:00:00
Abbott Laboratories SA (Pty) Ltd,Lypstaplus 20 mg/10 mg,Rosuvastatin,Tab,30,1.0,3008871001.0,198.09,11.8854,241.47171,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd,Lypstaplus 20 mg/10 mg,Ezetimibe,Tab,30,1.0,3008871001.0,198.09,11.8854,241.47171,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd,Lypstaplus 10 mg/10 mg,Rosuvastatin ,Tab,30,1.0,3008870001.0,185.83,11.15,226.53000000000003,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd,Lypstaplus 10 mg/10 mg,Ezetimibe,Tab,30,1.0,3008870001.0,185.83,11.15,226.53000000000003,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Synthroid 75 µg,Levothyroxine Sodium,TAB,30,1.0,3005551001.0,33.833162221163,2.0299897332697814,41.242624747597695,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Hidrasec Infants 10mg,Racecadotril ,GRA,16,1.0,3005208001.0,119.0006197915042,7.1445246575230765,145.06691611638138,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Hidrasec Adults 100mg,Racecadotril ,CAP,10,1.0,3005210001.0,100.29495523362561,6.022657149316973,122.26525424038397,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Hidrasec Children 30mg,Racecadotril ,GRA,16,1.0,3005209001.0,119.0006197915042,7.1445246575230765,145.06691611638138,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,"Femoston Conti 0,5mg/2,5mg ",Estradiol Hemihydrate equivalent to Estradiol ,TAB,28,1.0,3004921001.0,205.69145534667265,22.449159295787393,262.36170683882904,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,"Femoston Conti 0,5mg/2,5mg ",Dydrogesterone ,TAB,28,1.0,3004921001.0,205.69145534667265,22.449159295787393,262.36170683882904,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Influvac Tetra ,"A/Victoria/2570/2019 (H1N1)pdm09-like strain
(A/Victoria/2570/2019, IVR-215) ",INJ,0.5,1.0,3002734001.0,103.38894772994139,8.372674350717126,128.5258653927573,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Influvac Tetra ,"A/Hong Kong/2671/2019 (H3N2)-like strain
(A/Hong Kong/2671/2019, IVR-208) ",INJ,0.5,1.0,3002734001.0,103.38894772994139,8.372674350717126,128.5258653927573,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Influvac Tetra ,"B/Washington/02/2019-like strain
(B/Washington/02/2019, wild type) ",INJ,0.5,1.0,3002734001.0,103.38894772994139,8.372674350717126,128.5258653927573,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Influvac Tetra ,"B/Phuket/3073/2013-like strain
(B/Phuket/3073/2013, wild type) ",INJ,0.5,1.0,3002734001.0,103.38894772994139,8.372674350717126,128.5258653927573,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Teveten 600  ,Eprosartan,TAB,28,1.0,701855001.0,278.7942959151391,27.674106320016804,352.4386625704293,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Femoston-Conti  ,Dydrogesterone,TAB,28,1.0,703107001.0,249.30727345079322,27.209225734234668,317.99397406278206,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Femoston 1/10,Dydrogesterone,TAB,28,1.0,703108001.0,249.33495379600433,27.181545389024713,317.99397406278337,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Clacee 250mg,Clarithromycin,TAB,10,1.0,704032001.0,104.11788159535998,18.38038858293776,140.8730107050424,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Clacee 500mg,Clarithromycin,TAB,10,1.0,704033001.0,110.15323307035462,19.429313304527778,149.01992833111473,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Clacee 500mg,Clarithromycin,TAB,14,1.0,704033002.0,154.20807137713223,27.207493547702505,208.62789966355996,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Lipanthyl 200mg,Fenofibrate,CAP,30,1.0,705708001.0,350.6855288237988,36.299112005260696,445.0323369534184,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Faverin 100,Fluvoxamine,TAB,30,1.0,706443001.0,342.4013037337802,33.82378794542379,432.65885543108453,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Serc 24,Betahistine,TAB,20,1.0,707452002.0,314.0935609188243,33.932546337954115,400.23002334529525,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Teveten Plus ,Eprosartan,TAB,28,1.0,708096001.0,285.84940001025114,26.893093418462815,359.65386744302106,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Mavik (was Gopten) ,Trandolapril,CAP,30,1.0,708279001.0,206.96298253124587,24.292679250085627,265.94401104853125,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Ectiva 10mg,Sibutramine hydrochloride,CAP,30,1.0,710256001.0,214.51533507734666,1.6391120797795105,248.5776142306951,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Ectiva 15mg,Sibutramine hydrochloride,CAP,30,1.0,710257001.0,259.9307657487023,45.87013513212387,351.67103601295014,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Mucolator,Acetylcysteine,SAC,30,1.0,710392001.0,55.29276225028163,8.440355245348446,73.29308511997459,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Brufen 200 ,Ibuprofen,TAB,10,1.0,710822112.0,18.678004804589293,2.540701395512958,24.401512130117588,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Brufen 200 ,Ibuprofen,TAB,20,1.0,710822113.0,37.35600960917845,5.081402791025928,48.803024260235034,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Brufen 400 Extra Strength,Ibuprofen,TAB,10,1.0,710830131.0,30.503814936431336,4.142113184199922,39.84281733872595,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Brufen ,Ibuprofen,TAB,20,1.0,710849109.0,57.878460144368844,9.809022988382864,77.84060560266447,2024-03-05 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Brufen ,Ibuprofen,TAB,100,1.0,710849125.0,291.3880646534352,45.973101350878835,387.9653409049611,2024-03-05 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Brufen for children,Ibuprofen,SUS,100,1.0,710857004.0,53.40434402369695,8.332056454067835,70.99686054942951,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,"Cynt 0,2",Moxonidine,TAB,28,1.0,712382001.0,233.4048073107345,24.222213285047886,296.2710736851497,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,"Cynt 0,4",Moxonidine,TAB,28,1.0,712383001.0,235.9757877509225,24.883721856795635,299.9884360488759,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Tarka 180/2,Verapamil HCl,TAB,28,1.0,714624002.0,391.55337827737185,45.87727777177664,503.04525445652075,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Tarka 180/2,Trandolapril,TAB,28,1.0,714624002.0,391.55337827737185,45.87727777177664,503.04525445652075,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Tarka 180/2,Verapamil HCl,TAB,30,1.0,714624001.0,419.5214767257556,49.15422618404641,538.9770583462723,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Tarka 180/2,Trandolapril,TAB,30,1.0,714624001.0,419.5214767257556,49.15422618404641,538.9770583462723,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Tarka 240/4,Verapamil HCl,TAB,28,1.0,714625002.0,391.55337827737185,45.87727777177664,503.04525445652075,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Tarka 240/4,Trandolapril,TAB,28,1.0,714625002.0,391.55337827737185,45.87727777177664,503.04525445652075,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Tarka 240/4,Verapamil HCl,TAB,30,1.0,714625001.0,419.5214767257556,49.15422618404641,538.9770583462723,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Tarka 240/4,Trandolapril,TAB,30,1.0,714625001.0,419.5214767257556,49.15422618404641,538.9770583462723,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Colofac 135 mg,Mebeverine,TAB,20,1.0,715476009.0,66.95406510126122,10.530188508578663,89.10689165131586,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Colofac 135mg,Mebeverine,TAB,100,1.0,715476017.0,350.2792220857695,37.15492994849546,445.5492748394047,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Synthroid 25 µg,Levothyroxine Sodium,TAB,90,1.0,716571001.0,62.64798367283003,3.758879020369797,76.3678920971798,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Synthroid 25 µg,Levothyroxine Sodium,TAB,30,1.0,716571002.0,20.882661224276678,1.2529596734565989,25.45596403239327,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Synthroid 50 µg,Levothyroxine Sodium,TAB,90,1.0,716574001.0,81.70361871715201,4.902217123029125,99.59671121620829,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Synthroid 50 µg,Levothyroxine Sodium,TAB,30,1.0,716574002.0,27.234539572384005,1.6340723743430419,33.19890373873611,2025-02-21 00:00:00
Abbott Laboratories SA (Pty) Ltd ,Synthroid 88 µg,Levothyroxine Sodium,TAB,90,1.0,716575001.0,115.7557491933182,6.9453449515990995,141.1062582666549,2025-02-21 00:00:00
